Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8-10-16.tg1d

Time (min)	Weight (mg)
21.417	69.4209
21.433	69.4189
21.450	69.4129
21.467	69.4200
21.483	69.4296
21.500	69.4379
21.517	69.4456
21.533	69.4719
21.550	69.5140
21.567	69.5555
21.583	69.5863
21.600	69.6084
21.617	69.6242
21.633	69.6355
21.650	69.6436
21.667	69.6495
21.683	69.6541
21.700	69.6576
21.717	69.6592
21.733	69.6604
21.750	69.6624
21.767	69.6658
21.783	69.6697
21.800	69.6736
21.817	69.6774
21.833	69.6813
21.850	69.6853
21.867	69.6888
21.883	69.6916
21.900	69.6940
21.917	69.6965
21.933	69.6995
21.950	69.7030
21.967	69.7067
21.983	69.7101
22.000	69.7128
22.017	69.7144
22.033	69.7157
22.050	69.7176
22.067	69.7200
22.083	69.7226
22.100	69.7245
22.117	69.7261
22.133	69.7276
22.150	69.7294
22.167	69.7312
22.183	69.7332
22.200	69.7358
22.217	69.7389
22.233	69.7428
22.250	69.7472
22.267	69.7513
22.283	69.7547
22.300	69.7573
22.317	69.7595
22.333	69.7617
22.350	69.7645
22.367	69.7674
22.383	69.7708
22.400	69.7747
22.417	69.7788
22.433	69.7828
22.450	69.7864
22.467	69.7897
22.483	69.7929
22.500	69.7961
22.517	69.7990
22.533	69.8022
22.550	69.8054
22.567	69.8086
22.583	69.8114
22.600	69.8135
22.617	69.8155
22.633	69.8179
22.650	69.8203
22.667	69.8218
22.683	69.8228
22.700	69.8235
22.717	69.8238
22.733	69.8238
22.750	69.8235
22.767	69.8237
22.783	69.8242
22.800	69.8255
22.817	69.8272
22.833	69.8287
22.850	69.8301
22.867	69.8313
22.883	69.8330
22.900	69.8349
22.917	69.8363
22.933	69.8372
22.950	69.8379
22.967	69.8391
22.983	69.8405
23.000	69.8423
23.017	69.8444
23.033	69.8467
23.050	69.8496
23.067	69.8532
23.083	69.8563
23.100	69.8575
23.117	69.8581
23.133	69.8591
23.150	69.8604
23.167	69.8617
23.183	69.8634
23.200	69.8658
23.217	69.8680
23.233	69.8701
23.250	69.8718
23.267	69.8734
23.283	69.8748
23.300	69.8758
23.317	69.8765
23.333	69.8777
23.350	69.8795
23.367	69.8812
23.383	69.8825
23.400	69.8837
23.417	69.8855
23.433	69.8877
23.450	69.8902
23.467	69.8921
23.483	69.8941
23.500	69.8959
23.517	69.8971
23.533	69.8980
23.550	69.8987
23.567	69.8987
23.583	69.8987
23.600	69.8991
23.617	69.9002
23.633	69.9021
23.650	69.9048
23.667	69.9076
23.683	69.9099
23.700	69.9118
23.717	69.9135
23.733	69.9149
23.750	69.9160
23.767	69.9168
23.783	69.9181
23.800	69.9200
23.817	69.9226
23.833	69.9262
23.850	69.9302
23.867	69.9337
23.883	69.9370
23.900	69.9404
23.917	69.9440
23.933	69.9472
23.950	69.9498
23.967	69.9522
23.983	69.9546
24.000	69.9574
24.017	69.9601
24.033	69.9620
24.050	69.9637
24.067	69.9656
24.083	69.9677
24.100	69.9703
24.117	69.9731
24.133	69.9754
24.150	69.9764
24.167	69.9768
24.183	69.9772
24.200	69.9775
24.217	69.9780
24.233	69.9785
24.250	69.9794
24.267	69.9809
24.283	69.9826
24.300	69.9841
24.317	69.9854
24.333	69.9871
24.350	69.9902
24.367	69.9938
24.383	69.9978
24.400	70.0019
24.417	70.0059
24.433	70.0089
24.450	70.0117
24.467	70.0144
24.483	70.0169
24.500	70.0193
24.517	70.0217
24.533	70.0247
24.550	70.0286
24.567	70.0325
24.583	70.0364
24.600	70.0392
24.617	70.0423
24.633	70.0455
24.650	70.0488
24.667	70.0520
24.683	70.0548
24.700	70.0573
24.717	70.0577
24.733	70.0590
24.750	70.0607
24.767	70.0634
24.783	70.0667
24.800	70.0706
24.817	70.0745
24.833	70.0782
24.850	70.0822
24.867	70.0857
24.883	70.0890
24.900	70.0925
24.917	70.0963
24.933	70.0999
24.950	70.1037
24.967	70.1073
24.983	70.1111
25.000	70.1147
25.017	70.1182
25.033	70.1217
25.050	70.1252
25.067	70.1283
25.083	70.1310
25.100	70.1329
25.117	70.1339
25.133	70.1347
25.150	70.1350
25.167	70.1350
25.183	70.1349
25.200	70.1348
25.217	70.1342
25.233	70.1340
