Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
248.978	71.2455
249.138	71.2428
249.297	71.2401
249.461	71.2372
249.622	71.2343
249.779	71.2315
249.928	71.2288
250.077	71.2261
250.227	71.2233
250.377	71.2205
250.530	71.2176
250.681	71.2149
250.830	71.2121
250.981	71.2092
251.132	71.2062
251.285	71.2032
251.436	71.2002
251.593	71.1973
251.751	71.1944
251.908	71.1916
252.065	71.1889
252.220	71.1860
252.374	71.1832
252.528	71.1803
252.687	71.1775
252.847	71.1746
253.005	71.1717
253.163	71.1689
253.319	71.1660
253.472	71.1634
253.622	71.1604
253.776	71.1575
253.927	71.1546
254.074	71.1517
254.215	71.1489
254.358	71.1461
254.499	71.1433
254.641	71.1404
254.784	71.1374
254.928	71.1346
255.072	71.1317
255.222	71.1289
255.369	71.1261
255.518	71.1232
255.670	71.1204
255.824	71.1177
255.977	71.1149
256.132	71.1121
256.287	71.1093
256.441	71.1065
256.596	71.1037
256.748	71.1010
256.900	71.0983
257.052	71.0957
257.207	71.0932
257.360	71.0911
257.512	71.0893
257.664	71.0872
257.814	71.0850
257.965	71.0826
258.112	71.0802
258.260	71.0779
258.407	71.0754
258.554	71.0728
258.702	71.0701
258.850	71.0671
259.000	71.0643
259.155	71.0614
259.310	71.0587
259.464	71.0561
259.614	71.0535
259.761	71.0510
259.903	71.0485
260.047	71.0460
260.194	71.0433
260.341	71.0408
260.491	71.0383
260.645	71.0359
260.802	71.0335
260.960	71.0311
261.121	71.0284
261.278	71.0256
261.427	71.0229
261.579	71.0202
261.727	71.0175
261.874	71.0150
262.021	71.0124
262.172	71.0098
262.325	71.0072
262.480	71.0045
262.636	71.0019
262.792	70.9995
262.948	70.9971
263.106	70.9947
263.264	70.9923
263.422	70.9898
263.581	70.9873
263.738	70.9848
263.895	70.9823
264.049	70.9797
264.206	70.9771
264.359	70.9745
264.515	70.9719
264.667	70.9695
264.820	70.9670
264.977	70.9647
265.134	70.9621
265.295	70.9595
265.452	70.9570
265.605	70.9545
265.759	70.9521
265.909	70.9497
266.053	70.9472
266.196	70.9448
266.338	70.9423
266.479	70.9399
266.618	70.9375
266.761	70.9349
266.903	70.9324
267.044	70.9301
267.186	70.9277
267.330	70.9253
267.476	70.9230
267.618	70.9206
267.759	70.9182
267.900	70.9158
268.042	70.9134
268.183	70.9111
268.325	70.9088
268.471	70.9065
268.616	70.9041
268.761	70.9017
268.907	70.8994
269.054	70.8972
269.205	70.8949
269.355	70.8926
269.502	70.8901
269.650	70.8878
269.799	70.8856
269.946	70.8832
270.099	70.8808
270.250	70.8785
270.399	70.8762
270.546	70.8739
270.693	70.8716
270.837	70.8693
270.985	70.8670
271.136	70.8647
271.291	70.8624
271.448	70.8602
271.611	70.8580
271.771	70.8558
271.929	70.8536
